Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000,
1300 , 2300 , 3500 , 4900 , 6100 , 7800 , 9400 , 10600 , 12600 , 14300 , 16100 , 18000 , 19400 , 21000 , 22800 , 24800 , 26600 , 28200 , 30600 , 32400 , 33700 , 36200 , 37900 , 39600 , 40700 , 43700 , 45700 , 48100 , 49800 , 58700 , 54100 , 55800 , 57100 , 60400 , 62500 , 63900 , 65900 , 67100 , 69400 , 73000 , 74800 , 77000 , 78600 , 80000 , 82600 , 84700 , 87300 , 89300 , 91700 , 94200 , 95100 , 111700 , 100900 , 104700 , 112400 , 105900 , 109600 , 111700 , 112900 , 116200 , 117000 , 121000 , 123600 , 125000 , 126800 , 128900 , 130000 , 132900 , 135900 , 139100 , 144600 , 142500 , 143600 , 145500 , 149400 , 150800 , 152400 , 157300 , 159400 , 165300 , 161700 , 163900 , 167700 , 177200 , 174000 , 175500 , 174400 , 177500 , 181100 , 184200 , 187100 , 188000 , 206300 , 203100 , 196100 , 197400 , 212700 , 203800 , 203900 , 209000 , 
1100 , 2200 , 3400 , 4700 , 6000 , 7600 , 9400 , 10600 , 12600 , 14000 , 15800 , 18000 , 19400 , 21200 , 23200 , 24000 , 26500 , 28500 , 29800 , 31700 , 33300 , 36000 , 37600 , 39300 , 41600 , 43900 , 45300 , 47700 , 48900 , 51200 , 53700 , 56500 , 59500 , 61100 , 66100 , 67600 , 66300 , 71800 , 69500 , 72500 , 74800 , 77200 , 79200 , 88600 , 83000 , 84900 , 88200 , 89200 , 91200 , 93300 , 95100 , 99200 , 100600 , 102900 , 104300 , 111700 , 111800 , 110800 , 114300 , 122900 , 120500 , 120800 , 139400 , 129400 , 127300 , 128500 , 132600 , 133600 , 136200 , 138200 , 140300 , 143700 , 144400 , 146900 , 150900 , 152700 , 160100 , 158000 , 158800 , 159800 , 163900 , 165700 , 167500 , 169400 , 172300 , 174800 , 176100 , 192400 , 196200 , 182800 , 187800 , 189100 , 191100 , 196000 , 196000 , 208900 , 213200 , 209200 , 210900 , 207800 , 
1100 , 2200 , 3500 , 4900 , 6000 , 7600 , 9500 , 11000 , 12700 , 13900 , 16000 , 17300 , 19000 , 21400 , 22700 , 24900 , 26300 , 29200 , 30100 , 32100 , 41500 , 35900 , 38000 , 39600 , 41600 , 43300 , 46100 , 48700 , 51400 , 52000 , 54500 , 56400 , 57400 , 60600 , 62000 , 64500 , 66000 , 68100 , 69700 , 72000 , 74000 , 76500 , 78900 , 83900 , 87200 , 84700 , 86900 , 89300 , 89900 , 93200 , 103800 , 97100 , 99900 , 102400 , 104600 , 106200 , 108700 , 111200 , 110800 , 115200 , 117500 , 120200 , 122400 , 123800 , 125500 , 128900 , 130800 , 139500 , 136000 , 138200 , 140000 , 140900 , 144700 , 145800 , 149200 , 151300 , 153300 , 154200 , 158200 , 161400 , 170000 , 165400 , 167600 , 169800 , 184600 , 174000 , 176000 , 179100 , 180200 , 184400 , 184800 , 195100 , 190900 , 193600 , 197200 , 198500 , 199000 , 203100 , 205200 , 206500 , 
1200 , 2300 , 3400 , 4700 , 6200 , 7500 , 9600 , 10800 , 12500 , 14400 , 15500 , 17700 , 19500 , 20500 , 22600 , 24200 , 26700 , 28300 , 30200 , 31800 , 33300 , 36000 , 38000 , 40200 , 41900 , 43800 , 45700 , 48000 , 53500 , 52600 , 54100 , 56900 , 57400 , 60700 , 62000 , 64800 , 66400 , 68600 , 70600 , 81800 , 76400 , 76500 , 78900 , 80600 , 83000 , 90800 , 96400 , 90100 , 91500 , 91700 , 95700 , 97000 , 99400 , 101400 , 109300 , 106500 , 108100 , 111800 , 111700 , 122100 , 115900 , 123700 , 126300 , 124700 , 126900 , 130900 , 131400 , 144600 , 138800 , 136400 , 138300 , 141200 , 143900 , 157800 , 155000 , 150400 , 152600 , 155900 , 157400 , 162500 , 163000 , 164200 , 168700 , 169700 , 172700 , 174300 , 183500 , 179000 , 182800 , 183200 , 185700 , 189800 , 192500 , 194800 , 193900 , 196800 , 207300 , 205300 , 204200 , 208600 , 
1300 , 2100 , 3700 , 4400 , 6100 , 7600 , 9300 , 10800 , 12200 , 14300 , 15400 , 17000 , 19100 , 20800 , 22400 , 24600 , 26100 , 28000 , 33800 , 34100 , 36100 , 35400 , 37500 , 118600 , 48800 , 44100 , 45200 , 47300 , 49200 , 51500 , 52700 , 54800 , 57400 , 59200 , 61300 , 64200 , 65700 , 68800 , 69600 , 79400 , 73800 , 76500 , 78300 , 80100 , 82900 , 85100 , 88000 , 89000 , 92000 , 92900 , 102300 , 98600 , 106600 , 101700 , 103800 , 106000 , 108700 , 111100 , 112400 , 143500 , 122400 , 121800 , 125200 , 126000 , 127700 , 129200 , 132200 , 133800 , 136600 , 138400 , 142400 , 143300 , 159600 , 148400 , 160100 , 153800 , 156400 , 157900 , 159200 , 161100 , 164000 , 165500 , 168300 , 171500 , 182200 , 177600 , 178600 , 181100 , 182500 , 186100 , 188600 , 188600 , 191100 , 195900 , 194900 , 204800 , 203100 , 205500 , 206300 , 207000 , 
1200 , 2300 , 3700 , 4600 , 6000 , 7800 , 9200 , 10700 , 12700 , 14300 , 16500 , 17700 , 19400 , 21200 , 22500 , 25000 , 26700 , 28800 , 30400 , 31900 , 33700 , 36200 , 37500 , 39900 , 41200 , 43900 , 45200 , 48100 , 50500 , 51900 , 53200 , 55300 , 63100 , 59200 , 61700 , 63500 , 65500 , 67000 , 69900 , 71700 , 75000 , 76700 , 78700 , 80100 , 83000 , 89500 , 86600 , 89000 , 96500 , 97300 , 100700 , 100600 , 100400 , 102400 , 106300 , 112300 , 109600 , 111800 , 113400 , 115600 , 118700 , 120800 , 122700 , 124600 , 131300 , 128900 , 131000 , 135200 , 136500 , 139000 , 140500 , 176600 , 145600 , 148800 , 152200 , 153600 , 155900 , 163700 , 159100 , 164100 , 164600 , 163700 , 184800 , 176900 , 174500 , 174700 , 176500 , 180000 , 187700 , 186200 , 194900 , 190600 , 189900 , 191100 , 238300 , 199300 , 201300 , 203200 , 210600 , 207400 , 
1100 , 2200 , 3400 , 4700 , 6100 , 7400 , 9200 , 10600 , 12400 , 14500 , 15700 , 22600 , 19400 , 21000 , 22500 , 25400 , 26800 , 28500 , 30100 , 32000 , 34400 , 35900 , 39200 , 41000 , 43100 , 44000 , 46100 , 48200 , 50200 , 51600 , 53900 , 54400 , 58100 , 61200 , 63600 , 69800 , 66100 , 68100 , 69500 , 73100 , 74800 , 76200 , 78300 , 80300 , 82400 , 84100 , 90800 , 100900 , 92400 , 93400 , 95500 , 96800 , 99200 , 102700 , 104300 , 106100 , 108000 , 190100 , 132700 , 133000 , 135200 , 137600 , 126400 , 125000 , 136300 , 129000 , 131400 , 134400 , 135900 , 135900 , 138500 , 175500 , 143000 , 145400 , 147500 , 148600 , 153200 , 161500 , 158400 , 159200 , 162900 , 165000 , 167000 , 173700 , 176700 , 174100 , 177200 , 178100 , 181800 , 193500 , 188300 , 188500 , 189800 , 191100 , 200300 , 200400 , 199000 , 201600 , 204800 , 211300 , 
1100 , 2200 , 3100 , 4800 , 6000 , 7700 , 9200 , 11200 , 12600 , 14300 , 16300 , 17600 , 19500 , 20900 , 23300 , 24800 , 27500 , 28700 , 30400 , 32200 , 34300 , 35800 , 37600 , 44300 , 41900 , 43800 , 46300 , 47600 , 49800 , 52600 , 53900 , 55000 , 58500 , 60400 , 62200 , 64200 , 65800 , 68000 , 69900 , 73100 , 78800 , 76300 , 79100 , 80600 , 82300 , 84900 , 86700 , 90300 , 92300 , 94300 , 95800 , 102300 , 101700 , 103000 , 105600 , 107000 , 109000 , 111400 , 112600 , 115800 , 131300 , 122600 , 124400 , 124400 , 136300 , 129600 , 132100 , 134200 , 136800 , 138600 , 140000 , 184600 , 144900 , 147200 , 148900 , 153400 , 154200 , 161900 , 159200 , 161000 , 164500 , 165000 , 168800 , 173600 , 173500 , 176100 , 176400 , 180700 , 182600 , 188800 , 190200 , 190000 , 193300 , 193600 , 200400 , 198600 , 200800 , 203900 , 206300 , 214100 , 
1200 , 2100 , 3200 , 4500 , 6300 , 7900 , 9300 , 11000 , 12600 , 14200 , 15600 , 17100 , 24700 , 21700 , 22700 , 24200 , 26600 , 27800 , 30100 , 32300 , 34700 , 36100 , 37900 , 39400 , 41700 , 43600 , 45600 , 48900 , 49600 , 50800 , 53400 , 56200 , 57800 , 59200 , 61700 , 67900 , 66100 , 67400 , 69600 , 73400 , 74800 , 76400 , 78700 , 80800 , 85500 , 86200 , 85200 , 88900 , 96000 , 96000 , 94900 , 97300 , 100600 , 101900 , 104600 , 105300 , 107700 , 115300 , 112500 , 114900 , 116600 , 127600 , 129300 , 134600 , 135400 , 141800 , 130700 , 133400 , 134000 , 137000 , 139000 , 140700 , 149400 , 146400 , 146800 , 151400 , 154300 , 155700 , 168200 , 181900 , 163400 , 164600 , 166900 , 170000 , 176900 , 175900 , 177900 , 180200 , 182500 , 183500 , 236800 , 187900 , 188900 , 203700 , 196300 , 206800 , 200600 , 203900 , 206600 , 212300 , 
1500 , 2800 , 3900 , 6500 , 8200 , 9800 , 11600 , 12800 , 14600 , 16600 , 17700 , 17300 , 19300 , 20800 , 23100 , 25000 , 26400 , 28000 , 30100 , 31400 , 34000 , 35500 , 37200 , 38900 , 41500 , 43400 , 46000 , 47500 , 50500 , 52000 , 53500 , 54900 , 57700 , 59400 , 61800 , 63800 , 64900 , 67200 , 71000 , 73000 , 74100 , 77200 , 79600 , 95100 , 83400 , 85100 , 87000 , 89500 , 92600 , 94800 , 95200 , 101100 , 101600 , 104500 , 104900 , 106700 , 109300 , 111000 , 157400 , 115100 , 117600 , 128900 , 123200 , 123300 , 125800 , 128500 , 130600 , 131900 , 134800 , 136800 , 139100 , 140600 , 144400 , 147800 , 149100 , 167800 , 159300 , 156000 , 169100 , 171500 , 177200 , 179100 , 173400 , 169400 , 171300 , 173400 , 176500 , 184700 , 181400 , 184900 , 186100 , 188300 , 189900 , 193100 , 197000 , 200500 , 202100 , 217300 , 205800 , 208000 , 
