Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000,
500 , 900 , 1500 , 2200 , 3100 , 3800 , 5200 , 6700 , 7500 , 9500 , 11000 , 13700 , 15200 , 17400 , 19600 , 23400 , 23300 , 26400 , 29800 , 33300 , 36600 , 40300 , 46200 , 52400 , 48500 , 52800 , 58300 , 63800 , 81200 , 70200 , 70700 , 77400 , 84500 , 91500 , 91300 , 101000 , 102500 , 112800 , 119800 , 130000 , 129100 , 135000 , 137300 , 140500 , 151400 , 161000 , 176800 , 172700 , 186000 , 186800 , 202600 , 198600 , 219400 , 210300 , 224500 , 241200 , 247700 , 252000 , 264200 , 267400 , 281800 , 278700 , 291200 , 303600 , 317400 , 366500 , 333500 , 339100 , 362300 , 367100 , 382700 , 379200 , 403000 , 413500 , 420600 , 430900 , 444200 , 427800 , 468000 , 486700 , 496500 , 516800 , 503300 , 506300 , 520000 , 533100 , 565200 , 580400 , 600600 , 601000 , 591700 , 624700 , 622000 , 666600 , 679000 , 716400 , 686500 , 713400 , 716200 , 724600 , 
500 , 800 , 1600 , 2200 , 2900 , 4200 , 4500 , 6200 , 7800 , 9100 , 10500 , 12500 , 15500 , 16400 , 20600 , 22300 , 24400 , 28100 , 29300 , 31600 , 38400 , 37100 , 44000 , 48700 , 51500 , 48700 , 55700 , 61200 , 67300 , 69700 , 76100 , 90000 , 86700 , 86100 , 95900 , 99800 , 106300 , 121100 , 122100 , 130800 , 128700 , 147500 , 138400 , 149900 , 150100 , 174700 , 157600 , 166300 , 184700 , 196500 , 200000 , 210900 , 219700 , 215900 , 224700 , 239500 , 239900 , 259700 , 249400 , 261500 , 287400 , 282500 , 291100 , 290700 , 314100 , 349000 , 350400 , 341200 , 361800 , 373400 , 373200 , 386100 , 393700 , 408900 , 417800 , 433400 , 447900 , 440200 , 473300 , 459700 , 481100 , 517900 , 500700 , 524300 , 514500 , 546600 , 571900 , 565000 , 589800 , 606600 , 593900 , 627000 , 615500 , 655600 , 670600 , 695500 , 672600 , 766600 , 712500 , 738600 , 
400 , 900 , 1400 , 2100 , 3200 , 3700 , 4600 , 6700 , 7200 , 9800 , 10800 , 13800 , 14800 , 16100 , 18700 , 20800 , 23500 , 28000 , 29000 , 31300 , 35400 , 38900 , 41500 , 43800 , 49700 , 56100 , 58300 , 57300 , 66200 , 82100 , 73000 , 84700 , 84500 , 89000 , 93500 , 97800 , 107600 , 112800 , 113100 , 120800 , 130900 , 128300 , 139500 , 149600 , 156400 , 158900 , 174100 , 168300 , 179300 , 198100 , 194000 , 210600 , 213100 , 215300 , 222100 , 237800 , 255100 , 259700 , 255500 , 276700 , 271800 , 273000 , 295400 , 302200 , 320100 , 318300 , 343200 , 350700 , 356600 , 365000 , 388800 , 402200 , 383400 , 411900 , 428400 , 422000 , 452700 , 438600 , 436100 , 501100 , 541400 , 484000 , 532200 , 503900 , 514600 , 518300 , 565700 , 564600 , 581000 , 609200 , 604600 , 618300 , 655800 , 638800 , 644300 , 680900 , 695600 , 671200 , 734000 , 739000 , 
600 , 900 , 1400 , 2000 , 2900 , 3700 , 5000 , 6700 , 7400 , 9900 , 11100 , 12600 , 14200 , 17200 , 21000 , 21700 , 23900 , 25900 , 30300 , 32900 , 33400 , 40900 , 40600 , 47600 , 48500 , 55900 , 56900 , 60800 , 69100 , 70800 , 75500 , 82400 , 83200 , 89700 , 98900 , 98300 , 110700 , 103500 , 114000 , 124500 , 126400 , 125600 , 141000 , 143300 , 151200 , 163800 , 165500 , 171700 , 179100 , 192300 , 201800 , 215500 , 203700 , 220100 , 250900 , 273000 , 243700 , 247600 , 269700 , 256600 , 284300 , 287300 , 307500 , 322500 , 316300 , 342100 , 346800 , 345900 , 348900 , 375100 , 380800 , 380900 , 381800 , 418100 , 408700 , 449300 , 429200 , 452600 , 464800 , 458300 , 491500 , 488800 , 520700 , 508800 , 541900 , 551700 , 562900 , 572600 , 586900 , 616700 , 594200 , 598300 , 653200 , 628600 , 654100 , 711000 , 664400 , 714100 , 717900 , 753400 , 
600 , 1100 , 1300 , 2400 , 3000 , 3800 , 4800 , 6900 , 8000 , 8500 , 11400 , 13500 , 14500 , 17500 , 19100 , 21700 , 25300 , 26600 , 31200 , 31200 , 36700 , 40800 , 46000 , 45000 , 50800 , 55300 , 57600 , 59900 , 63500 , 70400 , 74500 , 77700 , 82100 , 86300 , 90200 , 98800 , 104600 , 113200 , 124100 , 136700 , 133000 , 132200 , 139500 , 147200 , 164600 , 164600 , 168000 , 173800 , 191300 , 191700 , 192100 , 216100 , 213200 , 216900 , 245800 , 241700 , 245900 , 253600 , 298000 , 338700 , 280700 , 270700 , 311600 , 298100 , 325900 , 340800 , 333700 , 342500 , 357100 , 366100 , 372800 , 387000 , 411400 , 399800 , 466600 , 743800 , 446000 , 450300 , 463000 , 479900 , 480700 , 504600 , 503100 , 569200 , 558900 , 742900 , 569100 , 617200 , 564200 , 592900 , 625100 , 620900 , 650100 , 654200 , 677900 , 706500 , 683800 , 685000 , 704600 , 766900 , 
500 , 900 , 1400 , 2100 , 3000 , 3900 , 4900 , 6000 , 7800 , 9300 , 10600 , 13400 , 15600 , 18300 , 19500 , 22600 , 24800 , 28400 , 30000 , 33300 , 35700 , 42000 , 42600 , 47800 , 49400 , 56000 , 122500 , 60400 , 64900 , 68800 , 75200 , 82000 , 85100 , 94600 , 101200 , 105200 , 103800 , 121500 , 115700 , 124100 , 129100 , 137600 , 136700 , 142600 , 148500 , 156200 , 169200 , 181500 , 181400 , 189100 , 203800 , 219500 , 223200 , 216300 , 218300 , 235700 , 242300 , 242700 , 276600 , 266700 , 278200 , 273000 , 295900 , 306900 , 326600 , 336400 , 338300 , 334000 , 367600 , 359300 , 370300 , 383000 , 388000 , 403700 , 422200 , 432800 , 429700 , 454900 , 511600 , 455900 , 485900 , 486300 , 517300 , 518000 , 605400 , 538600 , 557100 , 590600 , 550900 , 585700 , 598700 , 631600 , 633600 , 658800 , 656200 , 661500 , 673100 , 704700 , 739300 , 755200 , 
600 , 900 , 1500 , 2100 , 3000 , 3400 , 5000 , 6000 , 7900 , 8900 , 10800 , 12800 , 14000 , 16900 , 18200 , 23100 , 24300 , 27800 , 28000 , 35300 , 33300 , 40900 , 43700 , 45800 , 51400 , 54600 , 54500 , 57700 , 61200 , 72300 , 76200 , 108000 , 84500 , 88100 , 93200 , 91300 , 110200 , 110900 , 115300 , 123200 , 131600 , 131600 , 140800 , 147800 , 151400 , 171500 , 163400 , 177000 , 184900 , 185900 , 193400 , 206800 , 214500 , 211300 , 233600 , 229200 , 254500 , 248200 , 264300 , 275600 , 315100 , 282000 , 287500 , 318300 , 307900 , 326400 , 346100 , 341200 , 345500 , 363500 , 378100 , 385600 , 409100 , 407000 , 409100 , 443200 , 427800 , 451000 , 463500 , 460000 , 459400 , 515300 , 507300 , 511400 , 520300 , 585000 , 569600 , 577500 , 572000 , 591600 , 641300 , 640800 , 652700 , 679000 , 735600 , 688300 , 718600 , 732100 , 733400 , 719700 , 
500 , 800 , 1400 , 1900 , 3000 , 4100 , 5100 , 6600 , 8400 , 9300 , 11100 , 13300 , 14200 , 16100 , 19200 , 22500 , 24100 , 25500 , 30400 , 34100 , 33500 , 39300 , 42500 , 48300 , 50000 , 53500 , 53400 , 64800 , 70700 , 68900 , 78000 , 129700 , 85000 , 87000 , 95800 , 102600 , 102300 , 114400 , 121500 , 115000 , 129500 , 141800 , 138100 , 150800 , 154800 , 166600 , 177600 , 176400 , 180200 , 192100 , 199700 , 204400 , 209600 , 219800 , 218100 , 225100 , 250000 , 248800 , 268800 , 276700 , 286600 , 288200 , 295800 , 315900 , 337300 , 323100 , 349000 , 345900 , 357500 , 375800 , 373300 , 400000 , 420400 , 412000 , 439000 , 435400 , 440800 , 446500 , 466800 , 483000 , 488900 , 487000 , 565700 , 569500 , 570100 , 553100 , 548900 , 578400 , 578600 , 613500 , 602800 , 631600 , 651200 , 639700 , 666900 , 686600 , 701100 , 695400 , 717000 , 733900 , 
400 , 900 , 1300 , 2100 , 2900 , 4200 , 4800 , 5800 , 8400 , 9900 , 11200 , 13500 , 16500 , 16300 , 18900 , 22400 , 24400 , 26500 , 28700 , 32000 , 34400 , 39500 , 45200 , 44600 , 51200 , 54300 , 55900 , 63800 , 65100 , 69000 , 78600 , 100300 , 85300 , 90500 , 98800 , 96400 , 109800 , 109400 , 114200 , 118100 , 133900 , 136700 , 133500 , 140700 , 158500 , 160300 , 169600 , 181200 , 178500 , 183400 , 202000 , 211200 , 207500 , 219100 , 226500 , 249100 , 252000 , 254000 , 244800 , 264500 , 275000 , 286400 , 290500 , 311100 , 311000 , 325500 , 330900 , 346400 , 349100 , 408400 , 378800 , 378400 , 387700 , 390200 , 424700 , 434900 , 420700 , 445900 , 467700 , 476900 , 492700 , 509300 , 535300 , 533600 , 522700 , 557800 , 565700 , 585900 , 601500 , 611300 , 596100 , 617800 , 638300 , 671300 , 676200 , 689100 , 694700 , 695300 , 703600 , 755100 , 
500 , 1000 , 1300 , 1900 , 2600 , 3600 , 5100 , 6600 , 7800 , 9400 , 10300 , 12700 , 13800 , 16600 , 18300 , 21300 , 24200 , 25100 , 30200 , 32500 , 36500 , 37000 , 43300 , 47800 , 47700 , 52800 , 58800 , 92400 , 65400 , 70100 , 74900 , 79800 , 78900 , 87800 , 93400 , 96500 , 102600 , 110000 , 115800 , 135500 , 128800 , 141700 , 141200 , 142800 , 154700 , 164100 , 165800 , 170300 , 178900 , 194400 , 199600 , 213600 , 210400 , 229000 , 229200 , 240500 , 246500 , 253400 , 255400 , 286600 , 289400 , 283800 , 290200 , 309700 , 308700 , 323200 , 358000 , 333700 , 351900 , 365500 , 363500 , 395000 , 389600 , 393900 , 422400 , 427900 , 452800 , 456900 , 467900 , 478700 , 504700 , 472900 , 511800 , 518000 , 536200 , 574700 , 562600 , 568000 , 578800 , 594700 , 683500 , 647300 , 625000 , 647400 , 681600 , 660900 , 689500 , 697400 , 721000 , 706900 , 
