Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000,
700 , 2400 , 4500 , 7000 , 9800 , 13000 , 16500 , 22400 , 27100 , 31500 , 37200 , 44200 , 48800 , 59300 , 63600 , 75400 , 78200 , 91500 , 96800 , 107800 , 133900 , 130800 , 142700 , 164900 , 168700 , 179500 , 200300 , 211300 , 227600 , 239500 , 255600 , 264600 , 279600 , 286300 , 309900 , 332700 , 341400 , 371000 , 368200 , 390600 , 399800 , 432700 , 449000 , 456500 , 486200 , 512300 , 543700 , 538300 , 580800 , 604200 , 654900 , 633300 , 682800 , 684600 , 704900 , 715700 , 755900 , 792300 , 796700 , 808000 , 842800 , 856300 , 880700 , 906800 , 945000 , 1.0091e+06 , 1.0401e+06 , 1.018e+06 , 1.1009e+06 , 1.1178e+06 , 1.1229e+06 , 1.1699e+06 , 1.2047e+06 , 1.2496e+06 , 1.2314e+06 , 1.3162e+06 , 1.2977e+06 , 1.3108e+06 , 1.3701e+06 , 1.4134e+06 , 1.4974e+06 , 1.4972e+06 , 1.4924e+06 , 1.5484e+06 , 1.6153e+06 , 1.647e+06 , 1.7131e+06 , 1.7257e+06 , 1.781e+06 , 1.8309e+06 , 1.7739e+06 , 1.9063e+06 , 1.8981e+06 , 1.8837e+06 , 2.0226e+06 , 2.0287e+06 , 2.0859e+06 , 2.0714e+06 , 2.0973e+06 , 2.156e+06 , 
900 , 1900 , 4400 , 6400 , 9500 , 12800 , 15900 , 21300 , 26200 , 30500 , 36600 , 42700 , 57600 , 58200 , 70000 , 77200 , 85400 , 99100 , 105900 , 114500 , 131200 , 133900 , 151000 , 162200 , 172600 , 180400 , 192800 , 212600 , 229800 , 236600 , 252000 , 281700 , 280700 , 288200 , 312500 , 333100 , 348800 , 358600 , 372800 , 388000 , 422500 , 416600 , 454600 , 482300 , 468500 , 521500 , 502400 , 525800 , 559700 , 580000 , 594700 , 642600 , 671500 , 683300 , 686500 , 748600 , 757500 , 801800 , 778900 , 813400 , 830200 , 850200 , 887500 , 930000 , 972400 , 1.0423e+06 , 1.0697e+06 , 1.0557e+06 , 1.0875e+06 , 1.1611e+06 , 1.1509e+06 , 1.1506e+06 , 1.2149e+06 , 1.2534e+06 , 1.2773e+06 , 1.2689e+06 , 1.3573e+06 , 1.3586e+06 , 1.4329e+06 , 1.4253e+06 , 1.4977e+06 , 1.4904e+06 , 1.5374e+06 , 1.581e+06 , 1.5977e+06 , 1.6534e+06 , 1.7186e+06 , 1.713e+06 , 1.7814e+06 , 1.8337e+06 , 1.7758e+06 , 1.8848e+06 , 1.918e+06 , 1.9631e+06 , 1.9433e+06 , 2.074e+06 , 2.0461e+06 , 2.1434e+06 , 2.1207e+06 , 2.2136e+06 , 
900 , 2100 , 4100 , 6700 , 10700 , 13000 , 17000 , 21000 , 26300 , 30900 , 37600 , 44900 , 51300 , 55900 , 64700 , 70600 , 80200 , 92600 , 104700 , 115600 , 120700 , 125600 , 137400 , 159300 , 162600 , 178900 , 190200 , 199800 , 220100 , 241200 , 249600 , 271700 , 286400 , 299500 , 308000 , 335900 , 355500 , 366300 , 383000 , 379000 , 416500 , 429400 , 427100 , 463400 , 493500 , 512100 , 525600 , 555100 , 579700 , 609800 , 619900 , 652800 , 664300 , 682900 , 691700 , 745600 , 772600 , 795600 , 810200 , 854500 , 830700 , 879900 , 916900 , 942500 , 978100 , 993900 , 1.0352e+06 , 1.0338e+06 , 1.0542e+06 , 1.1205e+06 , 1.1643e+06 , 1.2178e+06 , 1.2064e+06 , 1.2497e+06 , 1.2839e+06 , 1.3101e+06 , 1.358e+06 , 1.3638e+06 , 1.3761e+06 , 1.4171e+06 , 1.4909e+06 , 1.4523e+06 , 1.5085e+06 , 1.5406e+06 , 1.5982e+06 , 1.5754e+06 , 1.6681e+06 , 1.6755e+06 , 1.7099e+06 , 1.8178e+06 , 1.8435e+06 , 1.8788e+06 , 1.9248e+06 , 1.9619e+06 , 1.9172e+06 , 2.0614e+06 , 2.0059e+06 , 2.0994e+06 , 2.1693e+06 , 2.1942e+06 , 
900 , 2000 , 4400 , 7200 , 9200 , 12800 , 16900 , 22300 , 29800 , 32300 , 38700 , 45200 , 48300 , 55900 , 66100 , 73500 , 84800 , 91500 , 105600 , 115700 , 115200 , 138800 , 143500 , 163600 , 179600 , 187900 , 186000 , 197400 , 230000 , 236600 , 251800 , 273500 , 283000 , 299200 , 324900 , 322800 , 343700 , 353600 , 359500 , 384500 , 397600 , 426400 , 456200 , 451600 , 477800 , 495800 , 534800 , 548200 , 564600 , 579500 , 596700 , 708300 , 659100 , 697100 , 700200 , 708000 , 738200 , 760300 , 785700 , 798300 , 832400 , 853600 , 904600 , 922300 , 945700 , 968700 , 1.0478e+06 , 1.0352e+06 , 1.1337e+06 , 1.1217e+06 , 1.1322e+06 , 1.1873e+06 , 1.16e+06 , 1.3705e+06 , 1.2984e+06 , 1.5386e+06 , 1.3033e+06 , 1.3284e+06 , 1.414e+06 , 1.4157e+06 , 1.5157e+06 , 1.4614e+06 , 1.508e+06 , 1.5744e+06 , 1.6196e+06 , 1.6565e+06 , 1.6406e+06 , 1.6673e+06 , 1.7255e+06 , 1.8084e+06 , 1.7619e+06 , 1.7983e+06 , 1.9142e+06 , 1.9585e+06 , 1.9775e+06 , 2.0341e+06 , 1.9834e+06 , 2.1452e+06 , 2.165e+06 , 2.1686e+06 , 
1000 , 2100 , 3400 , 7200 , 9800 , 13100 , 16800 , 23700 , 28600 , 32000 , 48600 , 52000 , 62500 , 67700 , 63600 , 72500 , 80600 , 92500 , 100800 , 110500 , 118900 , 132100 , 143900 , 157500 , 167600 , 197500 , 200000 , 204900 , 220000 , 235800 , 246300 , 321700 , 267500 , 293300 , 297700 , 314200 , 340800 , 345500 , 380100 , 391800 , 491900 , 486800 , 471800 , 493000 , 484400 , 502200 , 534100 , 828000 , 702700 , 577200 , 626900 , 647800 , 672500 , 782300 , 751100 , 732600 , 761500 , 782700 , 832800 , 842600 , 879900 , 875700 , 895600 , 917000 , 993700 , 979200 , 1.0384e+06 , 1.0579e+06 , 1.0503e+06 , 1.0911e+06 , 1.0986e+06 , 1.5259e+06 , 1.6935e+06 , 1.8346e+06 , 1.4026e+06 , 1.258e+06 , 1.3097e+06 , 1.3797e+06 , 1.4051e+06 , 1.5323e+06 , 1.4478e+06 , 1.4833e+06 , 1.5296e+06 , 1.5267e+06 , 1.5782e+06 , 1.6849e+06 , 1.6946e+06 , 1.796e+06 , 1.7219e+06 , 1.7486e+06 , 1.8156e+06 , 1.8661e+06 , 1.8688e+06 , 1.8885e+06 , 1.9466e+06 , 2.0101e+06 , 2.0592e+06 , 2.044e+06 , 2.0965e+06 , 2.2044e+06 , 
900 , 2200 , 4000 , 6700 , 9200 , 11800 , 17500 , 20600 , 27100 , 31100 , 36600 , 43600 , 49700 , 60600 , 62500 , 73800 , 91000 , 91900 , 105100 , 116400 , 128800 , 139400 , 149100 , 162200 , 177900 , 185600 , 188000 , 194300 , 215000 , 304400 , 283100 , 345600 , 312900 , 291800 , 301800 , 325900 , 342300 , 367900 , 417700 , 399700 , 423800 , 428100 , 435000 , 446800 , 479900 , 517500 , 540000 , 566100 , 581000 , 596400 , 631800 , 664000 , 677200 , 666600 , 679300 , 734700 , 769300 , 784100 , 834800 , 922000 , 832700 , 886600 , 936100 , 919700 , 996000 , 996400 , 1.0042e+06 , 1.0293e+06 , 1.0501e+06 , 1.0759e+06 , 1.1193e+06 , 1.1428e+06 , 1.2071e+06 , 1.2448e+06 , 1.2905e+06 , 1.4134e+06 , 1.2873e+06 , 1.3299e+06 , 1.3844e+06 , 1.3897e+06 , 1.4858e+06 , 1.5087e+06 , 1.5169e+06 , 1.5804e+06 , 1.6005e+06 , 1.6635e+06 , 1.6648e+06 , 1.6749e+06 , 1.6998e+06 , 1.7598e+06 , 1.7949e+06 , 1.8735e+06 , 1.8744e+06 , 1.9236e+06 , 2.1014e+06 , 1.9615e+06 , 2.0002e+06 , 2.0972e+06 , 2.1917e+06 , 2.2364e+06 , 
800 , 2200 , 4400 , 6500 , 10500 , 12300 , 17300 , 21200 , 25400 , 31000 , 41500 , 42900 , 48300 , 59600 , 61700 , 75200 , 80800 , 97300 , 110900 , 118200 , 124800 , 139200 , 157000 , 160200 , 172800 , 183600 , 192800 , 218600 , 216600 , 238900 , 253300 , 271100 , 278600 , 305700 , 302200 , 317600 , 349100 , 367400 , 400300 , 387200 , 421800 , 438000 , 462600 , 455700 , 500500 , 528500 , 517400 , 533900 , 588000 , 595800 , 631500 , 694200 , 643400 , 692800 , 725800 , 731100 , 779600 , 785500 , 826900 , 817100 , 874800 , 892200 , 940200 , 930000 , 965200 , 1.0185e+06 , 1.0519e+06 , 1.028e+06 , 1.0922e+06 , 1.1378e+06 , 1.1209e+06 , 1.1488e+06 , 1.1951e+06 , 1.2134e+06 , 1.2302e+06 , 1.2828e+06 , 1.3624e+06 , 1.3254e+06 , 1.4293e+06 , 1.423e+06 , 1.4534e+06 , 1.5594e+06 , 1.5277e+06 , 1.5271e+06 , 1.5615e+06 , 1.6405e+06 , 1.6986e+06 , 1.7369e+06 , 1.744e+06 , 1.7856e+06 , 1.9066e+06 , 1.8978e+06 , 1.9116e+06 , 1.9384e+06 , 2.0539e+06 , 2.0454e+06 , 2.0765e+06 , 2.069e+06 , 2.2282e+06 , 2.1302e+06 , 
900 , 1900 , 3700 , 6100 , 9900 , 28000 , 17900 , 22100 , 27600 , 31300 , 36500 , 44000 , 48900 , 56200 , 64800 , 72800 , 80000 , 91300 , 108400 , 117400 , 121200 , 139500 , 149300 , 159600 , 169700 , 184000 , 192700 , 216200 , 220700 , 235000 , 255300 , 282200 , 279700 , 292000 , 324300 , 333800 , 342600 , 419600 , 367900 , 373300 , 400700 , 426400 , 437800 , 460600 , 483700 , 503100 , 545100 , 558700 , 576500 , 603400 , 635000 , 649800 , 656000 , 693500 , 704300 , 734600 , 758500 , 772200 , 826600 , 848600 , 866900 , 925500 , 969400 , 946700 , 963800 , 977800 , 1.0005e+06 , 1.0389e+06 , 1.0548e+06 , 1.098e+06 , 1.1069e+06 , 1.1494e+06 , 1.2424e+06 , 1.2598e+06 , 1.3072e+06 , 1.3646e+06 , 1.3297e+06 , 1.3963e+06 , 1.3842e+06 , 1.4124e+06 , 1.4783e+06 , 1.4598e+06 , 1.4895e+06 , 1.5545e+06 , 1.5728e+06 , 1.67e+06 , 1.6854e+06 , 1.7223e+06 , 1.7118e+06 , 1.769e+06 , 1.841e+06 , 1.8957e+06 , 1.9187e+06 , 1.8922e+06 , 1.9835e+06 , 2.0219e+06 , 2.1004e+06 , 2.0788e+06 , 2.146e+06 , 2.2281e+06 , 
700 , 2000 , 3900 , 6500 , 9900 , 13400 , 17000 , 19600 , 27900 , 32600 , 38100 , 45900 , 52800 , 61400 , 62900 , 73000 , 81400 , 89700 , 97100 , 108400 , 123200 , 133600 , 150400 , 159900 , 174900 , 180000 , 187200 , 201700 , 214500 , 222500 , 243700 , 250700 , 271800 , 286600 , 323200 , 314100 , 331800 , 361300 , 396600 , 379700 , 393400 , 439000 , 442000 , 468100 , 495500 , 515400 , 519400 , 561800 , 566600 , 576300 , 607400 , 628400 , 637400 , 664500 , 685900 , 721500 , 804200 , 795100 , 788500 , 841700 , 861200 , 875400 , 938700 , 947700 , 970000 , 1.0094e+06 , 1.0362e+06 , 1.0642e+06 , 1.078e+06 , 1.0917e+06 , 1.1409e+06 , 1.1933e+06 , 1.2352e+06 , 1.201e+06 , 1.2665e+06 , 1.3191e+06 , 1.3542e+06 , 1.3256e+06 , 1.4151e+06 , 1.4385e+06 , 1.4782e+06 , 1.4988e+06 , 1.5773e+06 , 1.6088e+06 , 1.6293e+06 , 1.6448e+06 , 1.6815e+06 , 1.6964e+06 , 1.73e+06 , 1.7837e+06 , 1.7781e+06 , 1.8504e+06 , 1.9222e+06 , 2.0093e+06 , 2.0516e+06 , 2.039e+06 , 2.0697e+06 , 2.0416e+06 , 2.1645e+06 , 2.1457e+06 , 
900 , 2000 , 3700 , 6200 , 9400 , 12600 , 18300 , 22200 , 26900 , 40800 , 36300 , 43700 , 47500 , 56300 , 63400 , 71500 , 80500 , 87900 , 99700 , 108600 , 119000 , 132400 , 159300 , 162700 , 172000 , 182000 , 193400 , 211400 , 222900 , 236300 , 252800 , 308700 , 317200 , 357600 , 368000 , 356800 , 339100 , 400500 , 380700 , 398600 , 419200 , 454500 , 458100 , 466400 , 483100 , 509900 , 541300 , 529800 , 567500 , 612100 , 623800 , 637700 , 659500 , 669500 , 695100 , 749900 , 771600 , 791700 , 813000 , 852700 , 888000 , 920000 , 921000 , 950800 , 975700 , 976300 , 1.0349e+06 , 1.0139e+06 , 1.0968e+06 , 1.1281e+06 , 1.1507e+06 , 1.1836e+06 , 1.2181e+06 , 1.1977e+06 , 1.2911e+06 , 1.3709e+06 , 1.3494e+06 , 1.3431e+06 , 1.4243e+06 , 1.4871e+06 , 1.4403e+06 , 1.4456e+06 , 1.55e+06 , 1.5807e+06 , 1.5708e+06 , 1.7158e+06 , 1.6699e+06 , 1.7305e+06 , 1.747e+06 , 1.7455e+06 , 1.8794e+06 , 1.8879e+06 , 1.898e+06 , 1.9628e+06 , 1.9672e+06 , 1.9637e+06 , 2.0751e+06 , 2.0639e+06 , 2.1203e+06 , 2.1123e+06 , 
