Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000,
800 , 1800 , 3000 , 4100 , 6000 , 7800 , 10100 , 12100 , 14800 , 17500 , 20100 , 25000 , 28200 , 31700 , 35500 , 40700 , 45200 , 48500 , 54400 , 60000 , 64800 , 71700 , 77200 , 82600 , 88700 , 94500 , 103100 , 108500 , 116900 , 124400 , 130100 , 139100 , 147400 , 163000 , 163100 , 171900 , 182100 , 191900 , 201300 , 209500 , 218700 , 227700 , 240300 , 262800 , 260100 , 271500 , 282800 , 292500 , 306300 , 318800 , 335500 , 339000 , 354000 , 364300 , 379200 , 399000 , 406800 , 417300 , 461800 , 447600 , 468500 , 478400 , 490000 , 504900 , 527900 , 536600 , 553100 , 569600 , 608900 , 602400 , 615600 , 640500 , 650300 , 670100 , 693200 , 705700 , 721100 , 744400 , 755900 , 781800 , 794600 , 813700 , 858900 , 849900 , 876000 , 890800 , 917800 , 931100 , 956700 , 970900 , 996800 , 1.0172e+06 , 1.0464e+06 , 1.0594e+06 , 1.0839e+06 , 1.1003e+06 , 1.1267e+06 , 1.1407e+06 , 1.2121e+06 , 1.1965e+06 , 
700 , 1500 , 2800 , 4300 , 5900 , 7800 , 9500 , 12400 , 15300 , 17300 , 20700 , 24200 , 28300 , 31500 , 35000 , 40000 , 44200 , 49300 , 54100 , 59400 , 64400 , 70500 , 75700 , 81300 , 94800 , 92800 , 100400 , 109600 , 114300 , 123100 , 130000 , 139400 , 147500 , 155800 , 162800 , 172300 , 180100 , 190800 , 206200 , 210000 , 218900 , 228400 , 240400 , 251400 , 261600 , 271700 , 290700 , 296100 , 307100 , 318300 , 328700 , 341600 , 362100 , 368600 , 380500 , 397300 , 408300 , 427300 , 436800 , 447500 , 509500 , 475100 , 500500 , 504300 , 525000 , 543000 , 553800 , 574200 , 585600 , 608900 , 619700 , 635700 , 658100 , 666400 , 686100 , 709600 , 721000 , 742800 , 764400 , 778400 , 801900 , 813400 , 829000 , 862000 , 922200 , 899600 , 909100 , 934200 , 955900 , 981200 , 991300 , 1.0166e+06 , 1.0325e+06 , 1.0611e+06 , 1.0824e+06 , 1.1085e+06 , 1.1188e+06 , 1.1573e+06 , 1.1804e+06 , 1.1944e+06 , 
700 , 1500 , 2800 , 4000 , 6000 , 7900 , 9900 , 12400 , 14800 , 17800 , 20300 , 33400 , 27100 , 31400 , 35200 , 39500 , 44400 , 49600 , 53500 , 59200 , 64400 , 69800 , 75000 , 83400 , 87000 , 95700 , 101700 , 108300 , 115000 , 123500 , 129900 , 139300 , 148400 , 156300 , 170300 , 172500 , 180000 , 189000 , 200000 , 209100 , 218300 , 229300 , 260500 , 412500 , 447200 , 391500 , 360900 , 310400 , 335700 , 317900 , 479700 , 417000 , 418100 , 395000 , 412000 , 394500 , 412300 , 430400 , 451500 , 493400 , 465100 , 477800 , 501100 , 504300 , 520800 , 537900 , 564600 , 570200 , 584800 , 606600 , 616800 , 632900 , 647900 , 674600 , 685800 , 753900 , 720900 , 737400 , 760500 , 777300 , 789500 , 817600 , 833600 , 866100 , 868900 , 893200 , 910100 , 937500 , 951900 , 971000 , 1.3158e+06 , 1.3614e+06 , 1.0635e+06 , 1.0677e+06 , 1.0764e+06 , 1.1058e+06 , 1.1517e+06 , 1.1571e+06 , 1.475e+06 , 1.8811e+06 , 
800 , 1700 , 2700 , 4300 , 5700 , 8000 , 10100 , 12400 , 15200 , 18200 , 20600 , 24200 , 28000 , 32200 , 35800 , 39700 , 44700 , 48700 , 54400 , 58800 , 63600 , 69300 , 82500 , 83000 , 88400 , 95600 , 101700 , 107800 , 116400 , 122700 , 131900 , 139000 , 148300 , 157400 , 163200 , 172700 , 182000 , 197000 , 198500 , 209500 , 219800 , 228000 , 238600 , 249300 , 260000 , 269700 , 287500 , 293200 , 305700 , 318300 , 329600 , 343600 , 359900 , 365700 , 378900 , 393100 , 406200 , 427600 , 443500 , 449900 , 465600 , 486500 , 489400 , 506700 , 521200 , 542600 , 553000 , 568100 , 584500 , 608100 , 615600 , 635200 , 656900 , 668100 , 684700 , 712500 , 718500 , 739200 , 765900 , 778600 , 801700 , 814600 , 838700 , 854500 , 948200 , 896500 , 913400 , 935700 , 955300 , 978100 , 991800 , 1.0217e+06 , 1.0365e+06 , 1.0621e+06 , 1.1024e+06 , 1.1069e+06 , 1.1216e+06 , 1.157e+06 , 1.1661e+06 , 1.2125e+06 , 
700 , 1900 , 2600 , 4700 , 6100 , 7700 , 9800 , 12500 , 14400 , 17700 , 21900 , 25100 , 27600 , 32300 , 36100 , 40900 , 44300 , 49400 , 54500 , 59100 , 66000 , 71100 , 76700 , 97100 , 87800 , 93900 , 101800 , 107600 , 114900 , 121900 , 130100 , 150700 , 146200 , 154900 , 161800 , 173700 , 181400 , 190900 , 199100 , 208600 , 219400 , 229400 , 246500 , 250100 , 260700 , 284000 , 284200 , 295500 , 307200 , 323100 , 328400 , 341000 , 350300 , 365700 , 380600 , 396100 , 406300 , 419700 , 434400 , 453000 , 460200 , 475900 , 491700 , 503900 , 552200 , 536000 , 553600 , 703200 , 581600 , 599300 , 631100 , 631600 , 650800 , 676100 , 689400 , 705900 , 739700 , 737500 , 755500 , 778100 , 794100 , 818200 , 835300 , 855600 , 869300 , 889500 , 914900 , 929700 , 1.1182e+06 , 1.0889e+06 , 993800 , 1.0219e+06 , 1.0318e+06 , 1.0639e+06 , 1.0807e+06 , 1.16e+06 , 1.1308e+06 , 1.141e+06 , 1.1731e+06 , 1.1879e+06 , 
800 , 1800 , 2900 , 4100 , 6000 , 7600 , 9800 , 12500 , 15100 , 17600 , 20600 , 24700 , 27300 , 31400 , 36000 , 39300 , 44200 , 49600 , 54300 , 58200 , 64000 , 70900 , 76800 , 82700 , 88200 , 100000 , 101700 , 107300 , 115300 , 122400 , 130300 , 139800 , 146800 , 160500 , 164300 , 172400 , 180700 , 189500 , 237600 , 209700 , 219900 , 229100 , 244400 , 251300 , 261800 , 273800 , 333600 , 295900 , 306900 , 324700 , 330000 , 342400 , 359400 , 368300 , 382200 , 399300 , 404000 , 424700 , 435500 , 446900 , 465500 , 477300 , 495700 , 508700 , 524800 , 541600 , 555800 , 575200 , 588800 , 604800 , 618100 , 643000 , 653800 , 670500 , 715700 , 706000 , 759000 , 739600 , 782700 , 774600 , 798600 , 814500 , 831500 , 855700 , 872100 , 890600 , 909500 , 932400 , 950000 , 986800 , 996000 , 1.042e+06 , 1.0416e+06 , 1.0568e+06 , 1.1242e+06 , 1.101e+06 , 1.1294e+06 , 1.1544e+06 , 1.1717e+06 , 1.1964e+06 , 
700 , 1600 , 3100 , 4100 , 6100 , 7400 , 9600 , 11900 , 14800 , 17600 , 20900 , 23500 , 27700 , 32100 , 35300 , 40100 , 44700 , 49500 , 54800 , 58300 , 64300 , 71600 , 76700 , 80600 , 89100 , 100500 , 102500 , 108100 , 116300 , 123300 , 131000 , 140300 , 146900 , 159300 , 163200 , 173300 , 182900 , 190100 , 199000 , 262700 , 218600 , 229300 , 239800 , 255700 , 261400 , 272900 , 293400 , 294000 , 304800 , 316100 , 333400 , 340600 , 360900 , 367500 , 381200 , 397200 , 405400 , 420700 , 433800 , 449200 , 471900 , 476900 , 497800 , 506700 , 527000 , 538300 , 569700 , 572800 , 584500 , 607800 , 614500 , 636200 , 654700 , 668600 , 709200 , 708300 , 723300 , 741600 , 759000 , 776800 , 794600 , 809000 , 831200 , 853500 , 876900 , 892200 , 911000 , 943300 , 955400 , 973100 , 997200 , 1.038e+06 , 1.0389e+06 , 1.0645e+06 , 1.0845e+06 , 1.1069e+06 , 1.1295e+06 , 1.155e+06 , 1.1718e+06 , 1.214e+06 , 
800 , 1600 , 2800 , 9100 , 6000 , 7600 , 9600 , 12700 , 15400 , 17900 , 20800 , 24400 , 28300 , 31900 , 36300 , 40300 , 45500 , 49000 , 54400 , 59900 , 65600 , 70400 , 75800 , 82700 , 88500 , 95000 , 106300 , 107700 , 117700 , 122300 , 131900 , 139300 , 146900 , 160000 , 163700 , 172300 , 180900 , 189600 , 199700 , 243500 , 218100 , 227900 , 238000 , 254700 , 258700 , 270500 , 283100 , 298400 , 306400 , 316800 , 362600 , 361300 , 392600 , 366500 , 381000 , 397200 , 405500 , 425200 , 433100 , 446400 , 466500 , 478100 , 497200 , 507000 , 525600 , 535100 , 557800 , 579800 , 585100 , 604700 , 614200 , 634700 , 655400 , 670000 , 719500 , 724900 , 744900 , 736600 , 761300 , 828900 , 798200 , 815600 , 830700 , 854500 , 874300 , 893100 , 918000 , 931800 , 955300 , 978200 , 998300 , 1.0721e+06 , 1.0403e+06 , 1.0599e+06 , 1.0813e+06 , 1.1053e+06 , 1.1536e+06 , 1.1429e+06 , 1.1749e+06 , 1.1934e+06 , 
600 , 1500 , 2700 , 4100 , 5900 , 7400 , 9800 , 12400 , 15200 , 17800 , 21100 , 24500 , 28300 , 31600 , 36100 , 39700 , 44400 , 48600 , 53800 , 73000 , 64700 , 70100 , 76100 , 82400 , 87700 , 94900 , 101400 , 108400 , 115200 , 123400 , 155800 , 138600 , 145200 , 154700 , 163500 , 174000 , 190500 , 189800 , 199600 , 209200 , 219200 , 275500 , 237200 , 248100 , 259300 , 275700 , 283300 , 293300 , 310200 , 315700 , 328500 , 344400 , 353100 , 365800 , 383500 , 391900 , 410000 , 420300 , 433100 , 453700 , 459200 , 482300 , 489800 , 509600 , 520600 , 542700 , 553200 , 570200 , 590400 , 602000 , 621900 , 636100 , 655800 , 710400 , 716800 , 700900 , 723700 , 740100 , 762400 , 777000 , 798500 , 821200 , 831500 , 856300 , 871300 , 889300 , 913600 , 930600 , 956200 , 976200 , 996900 , 1.0116e+06 , 1.0977e+06 , 1.0613e+06 , 1.0812e+06 , 1.1135e+06 , 1.1253e+06 , 1.1527e+06 , 1.1686e+06 , 1.1964e+06 , 
1100 , 2200 , 3600 , 5200 , 7000 , 9500 , 12200 , 15800 , 18300 , 22200 , 25500 , 29800 , 34900 , 38900 , 43800 , 40200 , 44000 , 48800 , 54300 , 58400 , 65400 , 71600 , 75700 , 82300 , 87900 , 95300 , 101000 , 109200 , 128500 , 123300 , 132200 , 149900 , 146900 , 154800 , 163900 , 171900 , 182100 , 190600 , 199900 , 210100 , 217700 , 229200 , 247900 , 250900 , 260800 , 271800 , 283800 , 294300 , 304800 , 321800 , 330000 , 341700 , 354300 , 367100 , 394000 , 393400 , 409600 , 435000 , 474300 , 455800 , 460600 , 475700 , 490700 , 510400 , 521700 , 539900 , 552000 , 575700 , 583000 , 598100 , 621600 , 642000 , 649900 , 675500 , 686300 , 700000 , 729800 , 739800 , 757900 , 781800 , 792200 , 817100 , 843300 , 851000 , 877300 , 892100 , 913000 , 931900 , 954200 , 971200 , 1.037e+06 , 1.0155e+06 , 1.0448e+06 , 1.0604e+06 , 1.085e+06 , 1.1056e+06 , 1.1242e+06 , 1.1487e+06 , 1.2365e+06 , 1.2006e+06 , 
