Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000,
1800 , 2900 , 4400 , 5600 , 7100 , 8400 , 10500 , 11300 , 13300 , 14300 , 16500 , 18000 , 19900 , 21500 , 22700 , 23500 , 26600 , 28000 , 29600 , 32000 , 33600 , 35700 , 37100 , 38600 , 40400 , 42300 , 44500 , 46800 , 48200 , 48500 , 50200 , 50900 , 53400 , 56100 , 57700 , 59100 , 61200 , 63800 , 65600 , 66900 , 70500 , 73500 , 73300 , 75300 , 75800 , 79500 , 88900 , 81600 , 83100 , 85800 , 87400 , 89900 , 92800 , 95300 , 96600 , 98600 , 100100 , 101500 , 103700 , 104200 , 106200 , 108300 , 108500 , 111000 , 113400 , 116200 , 135800 , 119600 , 121900 , 124800 , 124900 , 126800 , 127500 , 131200 , 132800 , 135800 , 136300 , 139200 , 140000 , 143000 , 153100 , 150900 , 150700 , 152400 , 154000 , 155600 , 159200 , 159200 , 161600 , 164800 , 166300 , 168900 , 169100 , 174400 , 171000 , 175400 , 177300 , 180000 , 179200 , 181300 , 
1800 , 2600 , 3500 , 4800 , 6200 , 7100 , 8800 , 9800 , 11300 , 12600 , 14300 , 15700 , 16800 , 19900 , 21000 , 22100 , 23700 , 25200 , 25800 , 28200 , 30500 , 33500 , 36900 , 38200 , 40700 , 41700 , 44500 , 46100 , 47200 , 57400 , 51000 , 51600 , 53800 , 56800 , 57000 , 59500 , 60200 , 62900 , 64800 , 67700 , 69600 , 71600 , 73700 , 75000 , 74900 , 77400 , 79200 , 82000 , 83600 , 84800 , 87700 , 89500 , 92200 , 94400 , 97300 , 105600 , 99100 , 99900 , 102300 , 105800 , 106500 , 108700 , 108900 , 110200 , 112800 , 115600 , 118400 , 117800 , 121100 , 122200 , 124000 , 127500 , 137400 , 132000 , 131700 , 133800 , 136400 , 139100 , 141900 , 142700 , 147300 , 146400 , 150000 , 151300 , 154000 , 155000 , 162700 , 160900 , 161000 , 162900 , 166200 , 168900 , 169400 , 171400 , 173400 , 174800 , 178700 , 181900 , 187900 , 183800 , 
2400 , 3500 , 5000 , 6100 , 7700 , 10400 , 12400 , 14000 , 16300 , 18500 , 19700 , 21500 , 20400 , 21600 , 22600 , 24200 , 26500 , 28400 , 30200 , 32200 , 33200 , 34500 , 37200 , 37700 , 40200 , 42300 , 44000 , 45500 , 47900 , 48600 , 51000 , 51200 , 53000 , 57000 , 58100 , 57900 , 60500 , 61500 , 78200 , 67900 , 69400 , 71500 , 74400 , 74400 , 74300 , 78500 , 81200 , 81200 , 83900 , 85800 , 85700 , 89100 , 91200 , 93800 , 96800 , 97300 , 100100 , 101100 , 102800 , 104100 , 115200 , 108500 , 108500 , 110800 , 113500 , 116500 , 118200 , 119900 , 121600 , 123000 , 125300 , 125400 , 129800 , 131000 , 133200 , 133900 , 142700 , 140100 , 141800 , 145800 , 148500 , 149900 , 149200 , 150700 , 155200 , 157500 , 164000 , 142400 , 143600 , 146300 , 156800 , 149900 , 153800 , 153800 , 157200 , 159000 , 158900 , 161300 , 162400 , 164500 , 
1900 , 2800 , 4400 , 5100 , 7100 , 8800 , 10000 , 11500 , 13200 , 14700 , 16700 , 17900 , 19700 , 21500 , 22200 , 23500 , 25500 , 28200 , 30400 , 32500 , 34200 , 35600 , 36300 , 38100 , 39200 , 52900 , 44500 , 46600 , 47300 , 48700 , 50400 , 51500 , 55100 , 56000 , 58400 , 59700 , 61600 , 62700 , 64600 , 68200 , 70700 , 71700 , 72700 , 74000 , 76000 , 78200 , 79800 , 82400 , 83300 , 85500 , 86300 , 88000 , 92000 , 101800 , 97200 , 96900 , 99700 , 100900 , 102500 , 104500 , 106600 , 108000 , 109200 , 110200 , 112200 , 115400 , 117000 , 118700 , 122300 , 122700 , 124800 , 134400 , 128600 , 131700 , 132200 , 134200 , 135600 , 140600 , 142600 , 142900 , 145000 , 150200 , 149700 , 149800 , 153800 , 162400 , 156500 , 157500 , 157500 , 159700 , 164500 , 164100 , 167300 , 172500 , 172500 , 173400 , 177100 , 187200 , 180600 , 181400 , 
1900 , 3000 , 4300 , 5400 , 7300 , 8500 , 10200 , 11400 , 13500 , 15000 , 16800 , 17900 , 19000 , 21600 , 22400 , 24300 , 26600 , 28600 , 29300 , 31700 , 33700 , 34200 , 36600 , 38400 , 40000 , 41500 , 43800 , 45600 , 47000 , 49100 , 50400 , 51200 , 53000 , 56400 , 57700 , 59500 , 61600 , 62500 , 64600 , 66500 , 68000 , 70400 , 75800 , 86500 , 87800 , 91700 , 79700 , 82100 , 84300 , 85600 , 87900 , 89800 , 91000 , 93700 , 96500 , 97600 , 99000 , 100700 , 103400 , 105600 , 106500 , 107400 , 107500 , 110900 , 122600 , 116000 , 118500 , 119100 , 129100 , 124300 , 125500 , 128600 , 130100 , 132800 , 132500 , 134700 , 136600 , 139900 , 141800 , 150700 , 146200 , 148900 , 148900 , 152700 , 162400 , 155800 , 156100 , 160400 , 160000 , 163000 , 164200 , 166500 , 175800 , 171900 , 173500 , 176100 , 176600 , 180100 , 180900 , 181800 , 
1900 , 2700 , 4300 , 5800 , 7300 , 8600 , 10000 , 11300 , 13400 , 14800 , 21300 , 18100 , 20100 , 21300 , 23300 , 23800 , 26700 , 27900 , 29300 , 31700 , 33500 , 35700 , 37100 , 38400 , 40500 , 42200 , 45400 , 47300 , 47900 , 48600 , 50400 , 51500 , 54500 , 56500 , 57800 , 64600 , 62200 , 63000 , 64100 , 66600 , 70700 , 71000 , 73600 , 75200 , 75300 , 77800 , 79500 , 82500 , 89500 , 85400 , 87000 , 88900 , 92800 , 96000 , 95700 , 97500 , 99100 , 101500 , 102600 , 110000 , 107300 , 109100 , 108800 , 110100 , 115200 , 116300 , 116500 , 124900 , 121700 , 121800 , 127100 , 127900 , 128800 , 130800 , 133400 , 165700 , 135700 , 140900 , 141400 , 146600 , 144100 , 148700 , 153600 , 152500 , 152800 , 154500 , 159000 , 157900 , 170400 , 160700 , 162200 , 168100 , 169800 , 173100 , 239700 , 175000 , 178000 , 178800 , 181100 , 188900 , 
1700 , 2700 , 4100 , 5100 , 7100 , 8600 , 10300 , 11200 , 13000 , 14900 , 16300 , 18200 , 19200 , 21200 , 23100 , 23700 , 26500 , 33000 , 29800 , 31100 , 33500 , 35100 , 37600 , 39000 , 40400 , 42500 , 44500 , 47200 , 48200 , 48800 , 50700 , 51100 , 54200 , 55800 , 58800 , 59600 , 61200 , 63000 , 68600 , 67500 , 70900 , 73900 , 74600 , 75400 , 75700 , 78200 , 80200 , 81300 , 85500 , 84600 , 145000 , 90500 , 91800 , 94600 , 96700 , 98200 , 98900 , 101400 , 110100 , 105400 , 112200 , 107500 , 108900 , 110100 , 113900 , 117100 , 117700 , 118700 , 126300 , 123500 , 125000 , 127100 , 129000 , 130900 , 133200 , 134000 , 175500 , 139300 , 142900 , 145400 , 146300 , 148000 , 155300 , 154200 , 155000 , 157600 , 158900 , 161400 , 166700 , 163300 , 166100 , 167700 , 170700 , 172900 , 179200 , 175600 , 176300 , 179000 , 180600 , 182300 , 
1800 , 2900 , 4300 , 5200 , 7400 , 8300 , 9800 , 11300 , 12900 , 14800 , 16500 , 17800 , 19500 , 21500 , 22600 , 23900 , 26100 , 28500 , 29500 , 31100 , 33400 , 35000 , 36600 , 38800 , 39400 , 42200 , 43900 , 51100 , 46300 , 49600 , 49400 , 51300 , 52900 , 55500 , 56800 , 59100 , 61500 , 61900 , 64200 , 67800 , 69700 , 72200 , 72200 , 79400 , 74500 , 77300 , 80300 , 85200 , 84800 , 87300 , 87700 , 90800 , 93700 , 93400 , 101100 , 98600 , 101000 , 101300 , 103800 , 106100 , 107800 , 109400 , 109400 , 119000 , 115400 , 117600 , 118600 , 121700 , 123100 , 123700 , 126900 , 132800 , 130200 , 132900 , 134700 , 136000 , 138600 , 139100 , 142800 , 173600 , 146600 , 147900 , 150200 , 151200 , 153100 , 161700 , 159300 , 159400 , 161700 , 162800 , 164700 , 170400 , 168100 , 172000 , 174300 , 174800 , 175500 , 184100 , 181500 , 182000 , 
1700 , 2600 , 4200 , 5100 , 7200 , 8600 , 10400 , 11000 , 13000 , 14700 , 16300 , 17700 , 19300 , 22100 , 23000 , 24000 , 31400 , 28900 , 29600 , 31300 , 32900 , 35400 , 36700 , 38600 , 40200 , 41900 , 45000 , 46400 , 47100 , 49400 , 51100 , 51000 , 53600 , 56600 , 58300 , 59200 , 62500 , 67800 , 65300 , 66800 , 69400 , 71400 , 73000 , 74400 , 75200 , 78400 , 80800 , 82100 , 84500 , 85600 , 91300 , 88500 , 93000 , 95000 , 96900 , 99000 , 99900 , 100600 , 102800 , 105200 , 110500 , 107600 , 108600 , 112100 , 112400 , 114900 , 117900 , 120100 , 126000 , 123000 , 125600 , 127900 , 129500 , 132300 , 132900 , 134900 , 142300 , 139900 , 140700 , 146500 , 145100 , 148000 , 147700 , 184600 , 151400 , 153200 , 157600 , 159000 , 159000 , 186500 , 164500 , 167300 , 173200 , 176300 , 180200 , 176100 , 178200 , 179000 , 179000 , 182500 , 
2300 , 2600 , 4000 , 4600 , 6300 , 7600 , 8500 , 10200 , 11900 , 12900 , 14500 , 15600 , 17300 , 18800 , 20000 , 21900 , 23700 , 24700 , 26300 , 27400 , 30100 , 31200 , 32200 , 33800 , 36000 , 36600 , 40000 , 40700 , 42700 , 43400 , 45500 , 46300 , 48800 , 49300 , 52300 , 53600 , 55500 , 55800 , 57400 , 60500 , 63300 , 63600 , 65200 , 66200 , 67300 , 68900 , 83300 , 73100 , 74900 , 75900 , 76800 , 79600 , 81900 , 84000 , 86300 , 87200 , 88000 , 89300 , 92400 , 93900 , 94500 , 96100 , 97700 , 100400 , 100600 , 136800 , 105900 , 114700 , 110800 , 113900 , 113000 , 117200 , 117700 , 118100 , 119400 , 121600 , 124500 , 126000 , 129600 , 132600 , 131400 , 135900 , 133600 , 142700 , 137700 , 140100 , 143400 , 143700 , 143400 , 147500 , 145800 , 152400 , 154100 , 155900 , 156100 , 157200 , 164500 , 160500 , 163800 , 163400 , 
