Tamano 10,Tamano 20,Tamano 30,Tamano 40,Tamano 50,Tamano 60,Tamano 70,Tamano 80,Tamano 90,Tamano 100,Tamano 110,Tamano 120,Tamano 130,Tamano 140,Tamano 150,Tamano 160,Tamano 170,Tamano 180,Tamano 190,Tamano 200,Tamano 210,Tamano 220,Tamano 230,Tamano 240,Tamano 250,Tamano 260,Tamano 270,Tamano 280,Tamano 290,Tamano 300,Tamano 310,Tamano 320,Tamano 330,Tamano 340,Tamano 350,Tamano 360,Tamano 370,Tamano 380,Tamano 390,Tamano 400,Tamano 410,Tamano 420,Tamano 430,Tamano 440,Tamano 450,Tamano 460,Tamano 470,Tamano 480,Tamano 490,Tamano 500,Tamano 510,Tamano 520,Tamano 530,Tamano 540,Tamano 550,Tamano 560,Tamano 570,Tamano 580,Tamano 590,Tamano 600,Tamano 610,Tamano 620,Tamano 630,Tamano 640,Tamano 650,Tamano 660,Tamano 670,Tamano 680,Tamano 690,Tamano 700,Tamano 710,Tamano 720,Tamano 730,Tamano 740,Tamano 750,Tamano 760,Tamano 770,Tamano 780,Tamano 790,Tamano 800,Tamano 810,Tamano 820,Tamano 830,Tamano 840,Tamano 850,Tamano 860,Tamano 870,Tamano 880,Tamano 890,Tamano 900,Tamano 910,Tamano 920,Tamano 930,Tamano 940,Tamano 950,Tamano 960,Tamano 970,Tamano 980,Tamano 990,Tamano 1000,
900 , 1300 , 2200 , 2900 , 3800 , 4600 , 5900 , 6400 , 7500 , 8300 , 9100 , 9800 , 11500 , 12000 , 13700 , 13800 , 15800 , 16400 , 18200 , 20100 , 20200 , 20900 , 22100 , 23500 , 23800 , 25800 , 26900 , 27400 , 27100 , 29600 , 31900 , 31800 , 32800 , 33000 , 36500 , 39000 , 37400 , 45100 , 42100 , 42900 , 44100 , 44600 , 46400 , 49500 , 51700 , 52400 , 50600 , 53400 , 55200 , 53900 , 55600 , 59400 , 59700 , 56000 , 57100 , 65100 , 62500 , 66400 , 63900 , 65800 , 69000 , 67200 , 67800 , 70600 , 75200 , 74900 , 77200 , 80000 , 77600 , 83400 , 80300 , 80600 , 84100 , 84400 , 86800 , 85500 , 87400 , 107400 , 94500 , 91800 , 95000 , 91200 , 100900 , 98300 , 98300 , 103200 , 107600 , 103000 , 105000 , 111000 , 113400 , 110400 , 114700 , 116100 , 110300 , 119100 , 117000 , 120500 , 121900 , 116800 , 
700 , 1200 , 2200 , 2800 , 3800 , 4300 , 5600 , 6300 , 7800 , 8600 , 9900 , 10300 , 11600 , 11700 , 13700 , 13900 , 15600 , 15900 , 17000 , 17500 , 19000 , 21000 , 22000 , 23300 , 24500 , 25600 , 25800 , 26800 , 28800 , 31700 , 30400 , 31100 , 32700 , 33200 , 35000 , 36600 , 35100 , 39200 , 41500 , 42000 , 42100 , 43700 , 45700 , 46500 , 48100 , 50100 , 49300 , 47600 , 54300 , 52900 , 55900 , 56300 , 57500 , 57500 , 66100 , 59600 , 63400 , 61900 , 62800 , 69200 , 68600 , 70400 , 68700 , 72400 , 70500 , 71700 , 74600 , 74200 , 74300 , 73500 , 82900 , 80700 , 82000 , 86600 , 88600 , 84800 , 88200 , 87400 , 93800 , 99300 , 91600 , 91700 , 94000 , 102000 , 100600 , 102300 , 102900 , 102700 , 105700 , 105200 , 108800 , 109700 , 107000 , 112600 , 105800 , 113700 , 110200 , 114400 , 128300 , 112700 , 
800 , 1500 , 2200 , 2700 , 4000 , 4700 , 5500 , 6500 , 7100 , 8700 , 10200 , 10200 , 11700 , 13200 , 12200 , 14600 , 15400 , 16400 , 17000 , 17600 , 19900 , 22600 , 21800 , 23100 , 24300 , 24300 , 36400 , 28500 , 27700 , 31400 , 31800 , 30900 , 33200 , 34100 , 35700 , 39300 , 40200 , 40100 , 38500 , 41600 , 45000 , 44100 , 46600 , 46200 , 48900 , 49800 , 49900 , 53800 , 52700 , 54100 , 53500 , 58400 , 59900 , 61900 , 61900 , 64400 , 61200 , 112000 , 69900 , 69400 , 64500 , 66900 , 73000 , 78800 , 75900 , 77500 , 76600 , 76400 , 79600 , 81900 , 82500 , 83000 , 88100 , 86200 , 83800 , 87900 , 85300 , 88200 , 91500 , 95500 , 91800 , 98500 , 93800 , 93500 , 94600 , 96500 , 103200 , 103400 , 105700 , 106900 , 108100 , 114200 , 117200 , 106700 , 112600 , 111100 , 116100 , 117900 , 115800 , 125600 , 
900 , 1500 , 2000 , 2900 , 3700 , 4500 , 5200 , 7000 , 7300 , 8200 , 9300 , 9700 , 11500 , 12100 , 13200 , 13200 , 15300 , 17300 , 17100 , 18700 , 19900 , 19800 , 21600 , 23400 , 23500 , 24400 , 25200 , 27300 , 28200 , 29300 , 31100 , 31600 , 32000 , 33300 , 34900 , 38500 , 38100 , 38000 , 42100 , 41800 , 42700 , 41200 , 46000 , 47700 , 44300 , 48100 , 49500 , 52500 , 56800 , 52000 , 55400 , 63500 , 59200 , 57500 , 56900 , 64200 , 64200 , 65500 , 64800 , 66800 , 71000 , 71500 , 69100 , 77500 , 75800 , 75600 , 90400 , 77300 , 77200 , 81600 , 90100 , 83700 , 89200 , 90800 , 90700 , 87100 , 90000 , 93400 , 92200 , 89800 , 92700 , 96500 , 96700 , 96200 , 105100 , 99800 , 100800 , 103000 , 103600 , 109200 , 116700 , 111400 , 115900 , 105600 , 117000 , 115500 , 128600 , 120900 , 125000 , 117700 , 
1000 , 1200 , 2300 , 3000 , 3900 , 4700 , 5600 , 6400 , 7500 , 8400 , 9400 , 10300 , 11800 , 12000 , 13900 , 14800 , 16200 , 16300 , 17300 , 19200 , 20500 , 21400 , 23000 , 24000 , 24300 , 26400 , 27400 , 27200 , 29500 , 30100 , 32800 , 32400 , 33900 , 35800 , 35500 , 37200 , 38900 , 38500 , 41100 , 40400 , 42900 , 45900 , 46700 , 45700 , 48200 , 49300 , 47800 , 51000 , 49300 , 54400 , 54600 , 56600 , 58700 , 56700 , 62000 , 71600 , 64300 , 62800 , 66200 , 63600 , 70500 , 72600 , 68200 , 69100 , 70800 , 70500 , 72900 , 74900 , 78200 , 78300 , 81000 , 81100 , 88600 , 86200 , 86500 , 82600 , 87100 , 88100 , 90100 , 91200 , 103100 , 91900 , 95000 , 96500 , 100300 , 98300 , 98900 , 100600 , 106400 , 103800 , 105300 , 106300 , 108800 , 110400 , 113700 , 116300 , 113100 , 113300 , 114400 , 128200 , 
900 , 1400 , 2100 , 3100 , 4100 , 4400 , 5300 , 6400 , 8100 , 8600 , 9800 , 10100 , 11200 , 12300 , 14500 , 14100 , 15400 , 16100 , 17700 , 18800 , 19700 , 21400 , 21800 , 22300 , 24400 , 25700 , 27300 , 26900 , 29200 , 31000 , 32000 , 31300 , 33100 , 33600 , 35700 , 36400 , 37500 , 38100 , 41100 , 46700 , 42300 , 44600 , 45500 , 50600 , 50400 , 47200 , 49100 , 51100 , 52600 , 54900 , 56300 , 58300 , 57500 , 56100 , 57600 , 59900 , 65900 , 66300 , 64300 , 66700 , 66800 , 67300 , 70300 , 73400 , 68800 , 75200 , 75600 , 76200 , 76100 , 80400 , 84700 , 80900 , 81500 , 84400 , 85100 , 84000 , 91300 , 96200 , 90200 , 97600 , 95800 , 99000 , 93200 , 104800 , 101600 , 99000 , 103000 , 107400 , 111600 , 103200 , 108300 , 106000 , 114700 , 108400 , 112400 , 111900 , 117100 , 115400 , 116800 , 126000 , 
900 , 1400 , 2200 , 2700 , 3700 , 9400 , 5000 , 7400 , 7600 , 8600 , 9400 , 10700 , 11400 , 12500 , 13200 , 13700 , 15400 , 17300 , 18100 , 18500 , 19200 , 21100 , 21600 , 22700 , 22800 , 25100 , 26200 , 26900 , 28700 , 30300 , 30000 , 33900 , 32500 , 31700 , 36300 , 36800 , 38300 , 40100 , 38500 , 40300 , 42800 , 43800 , 44600 , 50200 , 48900 , 46500 , 49700 , 51800 , 51700 , 55700 , 55000 , 57400 , 55700 , 58900 , 62500 , 64700 , 62600 , 69600 , 66700 , 65300 , 75700 , 68500 , 68600 , 70300 , 73200 , 73100 , 72300 , 76200 , 76400 , 78200 , 84200 , 82500 , 87100 , 83200 , 86000 , 83700 , 90300 , 94500 , 89000 , 94800 , 96400 , 96300 , 96800 , 102200 , 100900 , 99400 , 100900 , 107600 , 106800 , 106400 , 106400 , 115300 , 112900 , 113100 , 108000 , 115200 , 118800 , 117200 , 122400 , 121400 , 
900 , 1400 , 2300 , 3000 , 3500 , 5100 , 5700 , 6600 , 7200 , 7900 , 9600 , 10500 , 11600 , 12200 , 13000 , 14900 , 14800 , 16700 , 16700 , 18800 , 20100 , 20700 , 22100 , 22200 , 25500 , 25600 , 26700 , 26700 , 28800 , 33800 , 30500 , 33700 , 32800 , 36200 , 36900 , 37700 , 38400 , 39200 , 41200 , 42000 , 40900 , 43600 , 43400 , 44100 , 52100 , 46900 , 51000 , 50000 , 56200 , 52600 , 55400 , 61800 , 56200 , 59000 , 63200 , 58800 , 61400 , 62700 , 62800 , 67700 , 70200 , 67100 , 70700 , 73500 , 70200 , 73500 , 106700 , 77200 , 78700 , 80700 , 84500 , 82300 , 84800 , 84900 , 89800 , 85000 , 84400 , 93400 , 83900 , 96600 , 102200 , 95900 , 95600 , 99500 , 101600 , 99600 , 109700 , 116400 , 108700 , 110600 , 115200 , 110100 , 112700 , 109900 , 115700 , 118300 , 114100 , 117500 , 129600 , 120500 , 
800 , 1300 , 1900 , 2800 , 3500 , 4500 , 5600 , 6500 , 12500 , 8300 , 9700 , 9400 , 11500 , 12400 , 13000 , 14600 , 14700 , 16200 , 17000 , 18200 , 19000 , 20100 , 20100 , 23300 , 24100 , 26200 , 24400 , 27700 , 29000 , 30100 , 33000 , 33200 , 33000 , 33900 , 36700 , 38900 , 39500 , 37800 , 40200 , 41600 , 47300 , 43100 , 43600 , 57100 , 46900 , 50500 , 51700 , 50800 , 56100 , 56700 , 53500 , 54200 , 53000 , 59800 , 59800 , 65800 , 63000 , 62500 , 63500 , 64500 , 76600 , 67000 , 67500 , 73300 , 78100 , 76800 , 76700 , 78500 , 77200 , 77700 , 83300 , 83900 , 85000 , 88200 , 85700 , 96100 , 86000 , 87500 , 92900 , 93300 , 96700 , 92100 , 90400 , 99100 , 97900 , 96100 , 100200 , 101400 , 105200 , 104200 , 102900 , 107600 , 119500 , 109200 , 116300 , 118700 , 114100 , 118100 , 115900 , 121400 , 
1000 , 2100 , 2800 , 3700 , 5200 , 5900 , 7400 , 8400 , 8800 , 10800 , 12100 , 12900 , 14900 , 15500 , 17200 , 17500 , 20400 , 20100 , 21800 , 23200 , 24600 , 26000 , 26900 , 28900 , 28700 , 26800 , 28700 , 28100 , 28200 , 30800 , 32400 , 32500 , 35300 , 40900 , 38600 , 40900 , 38700 , 38700 , 40100 , 41900 , 44100 , 42500 , 45500 , 45900 , 43800 , 50400 , 49200 , 50800 , 50700 , 56600 , 56300 , 57400 , 58400 , 74300 , 60900 , 60300 , 61600 , 62000 , 67300 , 66000 , 67500 , 67300 , 72100 , 72200 , 70200 , 73900 , 70800 , 76200 , 76700 , 74100 , 79500 , 80700 , 79700 , 84200 , 81000 , 85800 , 83400 , 87200 , 88800 , 98600 , 92900 , 91300 , 105400 , 97700 , 96800 , 104400 , 101200 , 98700 , 108300 , 104100 , 121300 , 112000 , 109600 , 109900 , 113800 , 109700 , 113600 , 124300 , 116200 , 116100 , 
